id,split,prompt_style,category,business_function,task_family,template_source,prompt,gold_tier,label_status,reasoning_depth,risk,context_load,tools_or_attachments_implied,governance
"biz-0001","test","business","market_competitive_research","research_insights","research_analysis","new","Analyze how a major regulatory change could reshape the competitive structure of consumer subscriptions over five years, modeling second-order effects, strategic responses, and alternative scenarios.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":false}"
"biz-0002","test","business","marketing_content","marketing","content_creation","new","Reposition a mature telehealth portal whose category is commoditizing, using win/loss research and competitor claims, and identify the claims we cannot support.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0003","development","business","documents_summaries","general_administration","document_synthesis","v1","Summarize this 12-page vendor proposal into scope, fees, assumptions, exclusions, timeline, and questions for the vendor.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":false}"
"biz-0004","test","business","documents_summaries","legal_compliance","document_synthesis","new","Reconcile the internal policy manual, the market report, and the board minutes into an obligation matrix with conflicts, jurisdictional caveats, and questions for counsel.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0005","test","business","sales_customer_support","sales","customer_revenue_work","v1","Turn these CRM notes into a clean opportunity summary with stakeholders, stage, amount, and next action.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0006","test","business","meetings_collaboration","operations","meeting_synthesis","new","Synthesize six months of planning meetings into recurring unresolved decisions and commitments that were never closed, citing speaker and date.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
"biz-0007","test","business","people_finance_legal_ops","people_hr","corporate_operations","new","Model a restructuring that must cut cost while preserving payments processing, meeting Germany consultation duties, and avoiding hidden single points of failure.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":false}"
"biz-0008","test","business","business_strategy","executive_strategy","strategy_planning","new","Advise whether Brightline Energy should build, buy, or partner for incident response, weighing control, speed, integration risk, and the scenario in which each choice fails.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0009","test","business","people_finance_legal_ops","finance","corporate_operations","v1","Assess whether to recognize revenue for a complex multi-year contract with variable consideration, implementation obligations, and side letters. Present competing accounting interpretations and required evidence.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0010","test","business","software_engineering","engineering","software_delivery","new","Design a zero-downtime migration of the reporting API to a multi-region active-active setup without losing ordering guarantees.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0011","test","business","market_competitive_research","research_insights","research_analysis","new","Analyze how a major regulatory change could reshape the competitive structure of education technology over five years, modeling second-order effects, strategic responses, and alternative scenarios.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0012","test","business","business_strategy","executive_strategy","strategy_planning","v1","Advise whether Brightline Energy should sell, raise capital, or remain independent. Integrate market timing, founder objectives, dilution, competitive dynamics, and scenario-weighted enterprise value.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
"biz-0013","test","business","product_design","product","product_definition","new","Create a 40-question discovery guide for a people partner evaluating telehealth portal.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""high"",""regulated_domain"":true,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0014","test","business","email_communication","general_administration","communication_drafting","v1","Create a four-email re-engagement sequence for dormant education technology leads. Each email should have a distinct purpose, avoid fake urgency, and build on the previous one.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""high"",""regulated_domain"":true,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0015","test","business","data_spreadsheets","finance","data_analysis","v1","Audit a multi-sheet financial model with circular references, inconsistent scenario assumptions, and unexplained hard-coded values. Reconstruct the intended logic and prioritize corrections by decision impact.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0016","development","business","meetings_collaboration","executive_strategy","meeting_synthesis","new","Synthesize six months of leadership transcripts into a map of recurring unresolved decisions, shifting assumptions, and commitments that were made but never closed, citing the meeting and speaker for every conclusion.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0017","test","business","marketing_content","marketing","content_creation","new","Write a positioning memo for employee scheduling app using the supplied positioning, proof points, and prohibited claims.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","true","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0018","test","business","it_security_admin","it_security","systems_security","new","Investigate a suspected ransomware spanning production workloads and the data warehouse. Build competing hypotheses and an evidence-preserving containment plan.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0019","test","business","data_spreadsheets","finance","data_analysis","new","Write a SQL query that returns net revenue retention by region for the last 15 days.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0020","development","business","meetings_collaboration","operations","meeting_synthesis","v1","Combine notes from two consecutive planning meetings into one clean status record, preserving changed dates and superseded decisions.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0021","test","business","business_strategy","executive_strategy","strategy_planning","new","Evaluate three supplied expansion markets for Northstar Logistics using the attached unit economics, and recommend a sequencing with leading indicators and stop conditions.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","true","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0022","test","business","documents_summaries","general_administration","document_synthesis","v1","Synthesize competing technical and commercial reports into a defensible recommendation, explicitly modeling how the conclusion changes if the key uncertain assumptions are wrong.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0023","test","business","marketing_content","marketing","content_creation","new","Draft a 10-word internal announcement about the quarterly review.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0024","development","business","data_spreadsheets","analytics","data_analysis","new","Convert these YYYY/MM/DD dates into ISO 8601.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":true}"
"biz-0025","test","business","data_spreadsheets","analytics","data_analysis","new","Write a SQL query that returns inventory turns by region for the last 60 days.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":false}"
